person_ID,trip_count,av_1,av_2,av_3,av_4,av_5,av_6,av_7,av_8,choice,shop_trip,leis_trip,dist_fac,tt_w,tt_b,tt_c,tc_c,acc_c,acc_time_4,tt_pt,tc_pt,acc_pt,trns_pt,freq_pt,distance_3,tt_ivt_3,tc_c_3,tt_ivt_1,tt_ivt_2,tt_ivt_4,tc_pt_4,wait_4,trns_4,freq_sof,Q1.1,Q1.2,Q1.3,Q1.4,Q1.6,Q1.16.1,Q1.10,Q2.2,hh_income_cat,hh_income,Q2.5_1,Q2.5_2,Q2.5_4,Q2.5_5,Q2.6_1,Q2.6_2,Q2.7,p_income,Q3.7,Q3.8,Q3.9
T274330,27,1,1,0,1,0,0,0,0,4,0,0,4.2845,49,18,,,,4.15,11,1.2,5,0,7,4.243,12.06666667,0.8,49.43333333,16.76666667,14,0.6,2.85,1,7,38,3,11,4,1,3,2,2,8,15000,1,0,0,2,2,1,3,7000,1,1,1
T616615,26,0,0,0,0,1,1,0,1,5,0,1,7.06625,,,,,,24.36666667,,,,,,6.984,10.86666667,1.9,84.03333333,24.28333333,10,2.9,0,0,20,63,3,5,5,1,3,2,4,8,15000,0,0,0,2,1,1,3,7000,1,1,1
X589358,26,1,1,1,1,0,0,0,0,2,1,0,1.34325,15,5,3,1.4,3,4.9,2,3.9,4,0,15,1.377,3.083333333,0.3,15.35,4.1,2,3.7,0.166666667,0,12,31,3,5,5,1,3,2,1,7,13000,2,0,0,2,2,1,3,7000,1,1,2
P321084,27,0,1,0,1,0,0,0,0,2,0,0,15.747,,45,,,,13.9,14,3.7,15,0,20,19.56,25.18333333,4.7,157.9666667,45.1,17,3.7,2.4,0,20,62,3,3,5,1,3,2,1,6,11000,1,0,0,2,2,1,2,7000,2,2,2
L236056,27,0,1,1,1,0,0,0,0,3,0,0,20.49525,,57,16,4.8,9,11.83333333,19,6.3,9,0,15,21.39,19.65,6.4,246.9333333,59.85,19,6.3,0.016666667,0,8,48,3,5,5,1,3,1,1,7,13000,2,0,0,3,2,1,2,2000,2,2,2
F482295,27,0,0,1,1,0,0,0,0,3,0,0,47.17325,,,47,20.5,9,10.23333333,34,18.7,9,3,20,48.006,35.95,22.6,543.15,154.2833333,42,13,22.68333333,2,20,51,2,1,5,1,3,1,1,6,11000,2,0,2,0,2,1,2,7000,2,2,2
F312719,27,0,0,1,1,0,0,0,0,4,0,0,34.53275,,,23,12.3,9,16.11666667,41,13.9,12,2,10,37.114,27.88333333,8.2,388.0833333,99.16666667,41,12.2,10.03333333,2,9,31,2,11,4,1,3,1,3,8,15000,1,1,0,2,1,1,3,9500,1,1,1
C304787,26,1,1,1,1,0,0,0,0,2,1,0,1.3935,19,6,3,1.2,6,3.983333333,3,1.8,4,1,15,1.323,2.766666667,0.3,18.45,6.566666667,3,2,0.016666667,0,12,25,2,3,4,1,3,2,1,6,11000,1,0,0,2,2,1,3,7000,1,2,2
E692905,27,0,0,0,0,0,1,1,1,7,1,0,5.75575,,,,,,4.366666667,,,,,,6.07,7.333333333,1.6,64.68333333,19,11,2,0.633333333,0,60,30,3,5,4,1,3,2,1,5,9000,2,1,0,2,2,1,3,2000,1,2,1
Q640678,26,1,1,0,1,0,0,0,0,2,0,1,5.302,52,16,,,,8.183333333,14,2.8,6,0,10,7.231,17.66666667,2,49.36666667,15.03333333,14,2.8,1.316666667,0,5,43,3,11,5,1,3,2,4,5,9000,0,0,0,4,1,1,3,4000,2,1,1
D1647275,27,0,0,1,1,0,0,0,0,4,0,1,137.398,,,116,37.8,9,14.58333333,90,20.5,16,2,15,131.318,91.9,30.2,1535.166667,418.7166667,113,27.3,30.46666667,3,20,55,2,11,5,1,3,1,4,7,13000,2,1,1,1,2,1,2,9500,1,2,2
H063033,26,1,1,0,1,0,0,0,0,2,0,1,1.4025,15,7,,,,7.25,3,1,9,0,3,1.691,4.816666667,0.4,14.73333333,6.533333333,2,0.2,0,0,5,45,3,3,4,1,4,2,3,3,5000,0,0,0,2,1,1,3,4000,1,2,2
A903365,27,0,0,0,0,0,0,1,1,7,0,0,21.74075,,,,,,5.1,,,,,,24.522,19.16666667,11.5,248.4166667,73.06666667,21,9.5,13.73333333,2,20,29,2,7,4,1,1,2,2,3,5000,1,0,0,2,2,1,3,7000,1,2,1
Q609074,25,0,1,1,1,0,0,0,0,3,1,0,7.04775,,20,12,1,3,10.3,14,1.2,9,2,10,6.784,10.23333333,1.4,71.75,19.06666667,14,1.2,0.566666667,1,12,61,3,11,5,1,3,2,1,4,7000,1,0,0,1,2,1,2,2000,1,2,1
M411452,27,0,0,1,1,0,0,0,0,3,0,0,51.20475,,,35,14.9,9,12.33333333,62,9.4,13,2,40,50.594,41.61666667,23.8,575,172.3333333,51.4,7.2,9.516666667,2,30,61,3,3,5,1,3,1,1,9,18000,2,0,0,2,2,1,2,13000,2,1,1
Y1991188,26,1,1,0,1,0,0,0,0,4,0,1,3.52875,43,13,,,,5.716666667,7,1,5,1,10,3.516,6.383333333,1,40.9,12.71666667,9,0.5,0.016666667,0,6,25,3,5,4,1,3,2,2,3,5000,0,0,0,1,1,1,3,4000,1,2,2
U522112,27,0,0,0,0,0,0,1,1,7,0,0,24.07825,,,,,,24.16666667,,,,,,24.289,26.26666667,4.9,262.8333333,69.13333333,39.4,5.4,8.883333333,2,15,42,3,3,4,1,3,1,1,9,18000,2,2,1,4,2,1,3,4000,1,2,2
R1093925,26,0,1,1,1,0,0,0,0,3,1,0,9.86525,,30,17,4.2,9,9.566666667,27,8.2,10,1,10,10.607,13.45,2.8,105.6833333,28.3,25,7.2,4.016666667,1,12,28,3,6,4,1,3,2,1,3,5000,1,0,0,0,2,1,2,7000,1,2,2
J104562,27,0,0,0,0,0,0,1,1,7,0,0,36.22125,,,,,,8.616666667,,,,,,34.854,25.83333333,8.4,392.7666667,114.3333333,45,5.8,17.43333333,2,30,30,2,7,4,1,4,1,4,4,7000,5,0,0,4,2,1,3,7000,1,1,1
L114392,27,0,0,0,0,0,1,1,1,7,0,1,14.21125,,,,,,12.13333333,,,,,,12.319,17.7,2.5,152.6166667,52.71666667,26,4.7,13.53333333,2,15,22,3,6,4,1,1,2,1,8,15000,3,0,0,3,2,1,2,2000,1,2,2
C035361,27,0,0,1,1,0,0,0,0,4,0,1,109.0485,,,80,24.6,7,17.3,109,10.3,14,4,20,109.435,78.86666667,32.8,1316.783333,432.9833333,109,13.7,30.01666667,3,30,30,2,4,4,1,4,1,1,5,9000,1,0,0,3,2,1,2,9500,2,1,1
I924604,27,0,0,1,1,0,0,0,0,3,0,0,29.4905,,,21,8,3,26.16666667,39,11.4,16,0,7,28.472,21.28333333,5.7,324.4833333,113.0166667,36,18.3,2.016666667,1,9,56,2,7,5,1,1,1,2,4,7000,3,0,0,5,2,1,3,7000,1,2,2
U250685,27,0,0,1,1,0,0,0,0,4,0,1,25.78825,,,26,7.4,6,21.38333333,26,5.8,23,0,20,30.74,32.15,7.4,274.8,82.38333333,26,5.8,9.166666667,1,30,33,3,3,4,1,3,2,4,4,7000,1,0,0,0,2,1,3,7000,1,2,2
W441490,26,0,1,1,1,0,0,0,0,3,1,0,5.69775,,50,13,2.9,6,55.48333333,9,1.7,20,1,30,6.266,15.68333333,2.9,89.26666667,52.81666667,6,2.2,0,0,30,59,2,2,5,1,3,2,1,4,7000,1,0,0,1,2,1,2,7000,1,2,2
G505819,27,1,1,1,1,0,0,0,0,2,1,0,2.87875,35,13,6,1.2,9,4.183333333,6,3,4,0,20,2.844,5.516666667,0.6,37.25,12.43333333,6,2.6,0,0,20,21,3,1,4,1,3,1,1,5,9000,1,1,0,1,2,1,3,4000,1,2,1
S1007364,27,0,0,1,1,0,0,0,0,4,0,1,50.289,,,48,16.1,9,11.66666667,73,27.3,13,1,7,55.889,37.56666667,13.4,447.1,184.3666667,67,24,6.65,1,9,38,3,7,4,1,3,2,1,4,7000,1,0,0,1,2,1,3,7000,2,2,2
L052445,26,1,1,0,1,0,0,0,0,4,0,1,3.5915,39,14,,,,14.05,10,1.2,15,0,3,3.782,12.4,0.8,38.53333333,14.38333333,10,0.5,1.033333333,0,3,32,3,11,4,1,3,2,2,3,5000,0,0,0,1,1,1,3,7000,1,1,1
